from,to,total
Ireland,Curacao,7
Ireland,Croatia,5
Ireland,Bulgaria,9
Ireland,"Bonaire, Sint Eustatius and Saba",2
Ireland,Belgium,9
Ireland,Austria,9
Ireland,Aruba,7
Ireland,Argentina,2
Ireland,Andorra,2
Isle of Man,United States,3
Isle of Man,United Kingdom,7
Isle of Man,Sweden,7
Isle of Man,Spain,7
Isle of Man,South Africa,2
Isle of Man,Slovenia,7
Isle of Man,Slovakia,7
Isle of Man,Seychelles,2
Isle of Man,San Marino,2
Isle of Man,Romania,7
Isle of Man,Portugal,5
Isle of Man,Poland,5
Isle of Man,Norway,2
Isle of Man,Netherlands,7
Isle of Man,Mexico,2
Isle of Man,Malta,7
Isle of Man,Luxembourg,7
Isle of Man,Lithuania,7
Isle of Man,Latvia,7
Isle of Man,"Korea, Republic of",2
Isle of Man,Italy,7
Isle of Man,Ireland,7
Isle of Man,India,2
Isle of Man,Iceland,2
Isle of Man,Hungary,7
Isle of Man,Greece,5
Isle of Man,Gibraltar,5
Isle of Man,Germany,7
Isle of Man,France,7
Isle of Man,Finland,7
Isle of Man,Faroe Islands,2
Isle of Man,Estonia,7
Isle of Man,Denmark,7
Isle of Man,Czech Republic,7
Isle of Man,Cyprus,5
Isle of Man,Croatia,3
Isle of Man,Bulgaria,6
Isle of Man,Belgium,7
Isle of Man,Austria,5
Isle of Man,Argentina,2
Israel,United States,2
Italy,"Virgin Islands, British",7
Italy,United States,3
Italy,United Kingdom,9
Italy,Switzerland,2
Italy,Sweden,9
Italy,Spain,9
Italy,South Africa,2
Italy,Slovenia,9
Italy,Slovakia,9
Italy,Seychelles,2
Italy,San Marino,2
Italy,Romania,9
Italy,Portugal,9
Italy,Poland,9
Italy,Norway,2
Italy,Netherlands,9
Italy,Montserrat,7
Italy,Monaco,2
Italy,Mexico,2
Italy,Malta,9
Italy,Luxembourg,9
Italy,Lithuania,9
Italy,Liechtenstein,2
Italy,Latvia,9
Italy,"Korea, Republic of",2
Italy,Jersey,9
Italy,Isle of Man,9
Italy,Ireland,9
Italy,India,2
Italy,Iceland,2
Italy,Hungary,9
Italy,Guernsey,9
Italy,Greece,9
Italy,Gibraltar,9
Italy,Germany,9
Italy,France,9
Italy,Finland,9
Italy,Faroe Islands,2
Italy,Estonia,9
Italy,Denmark,9
Italy,Czech Republic,9
Italy,Cyprus,9
Italy,Curacao,7
Italy,Croatia,5
Italy,Bulgaria,9
Italy,Belgium,9
Italy,Austria,9
Italy,Aruba,7
Italy,Argentina,2
Italy,Andorra,2
Jamaica,United States,3
Japan,United States,5
Jersey,United States,3
Jersey,United Kingdom,6
Jersey,Sweden,4
Jersey,Spain,4
Jersey,South Africa,2
Jersey,Slovenia,4
Jersey,Slovakia,4
Jersey,San Marino,2
Jersey,Romania,4
Jersey,Portugal,2
Jersey,Poland,2
Jersey,Norway,2
Jersey,Netherlands,4
Jersey,Mexico,2
Jersey,Malta,4
Jersey,Luxembourg,4
Jersey,Lithuania,4
Jersey,Latvia,4
Jersey,"Korea, Republic of",2
Jersey,Italy,4
Jersey,Ireland,4
Jersey,India,2
Jersey,Iceland,2
Jersey,Hungary,4
Jersey,Greece,2
Jersey,Gibraltar,2
Jersey,Germany,4
Jersey,France,4
Jersey,Finland,4
Jersey,Faroe Islands,2
Jersey,Estonia,4
Jersey,Denmark,4
Jersey,Czech Republic,4
Jersey,Cyprus,2
Jersey,Croatia,2
Jersey,Bulgaria,3
Jersey,Belgium,4
Jersey,Austria,2
Jersey,Argentina,2
Kazakhstan,United States,2
"Korea, Republic of",United States,2
"Korea, Republic of",United Kingdom,2
"Korea, Republic of",Sweden,2
"Korea, Republic of",Spain,2
"Korea, Republic of",South Africa,2
"Korea, Republic of",Slovenia,2
"Korea, Republic of",Slovakia,2
"Korea, Republic of",Seychelles,2
"Korea, Republic of",Romania,2
"Korea, Republic of",Norway,2
"Korea, Republic of",Netherlands,2
"Korea, Republic of",Mexico,2
"Korea, Republic of",Malta,2
"Korea, Republic of",Luxembourg,2
"Korea, Republic of",Lithuania,2
"Korea, Republic of",Latvia,2
"Korea, Republic of",Jersey,2
"Korea, Republic of",Italy,2
"Korea, Republic of",Isle of Man,2
"Korea, Republic of",Ireland,2
"Korea, Republic of",India,2
"Korea, Republic of",Iceland,2
"Korea, Republic of",Hungary,2
"Korea, Republic of",Guernsey,2
"Korea, Republic of",Gibraltar,2
"Korea, Republic of",Germany,2
"Korea, Republic of",France,2
"Korea, Republic of",Finland,2
"Korea, Republic of",Faroe Islands,2
"Korea, Republic of",Estonia,2
"Korea, Republic of",Denmark,2
"Korea, Republic of",Czech Republic,2
"Korea, Republic of",Bulgaria,1
"Korea, Republic of",Belgium,2
"Korea, Republic of",Argentina,2
Kosovo,United States,3
Kuwait,United States,2
Latvia,"Virgin Islands, British",7
Latvia,United States,4
Latvia,United Kingdom,9
Latvia,Switzerland,2
Latvia,Sweden,9
Latvia,Spain,9
Latvia,South Africa,2
Latvia,Slovenia,9
Latvia,Slovakia,9
Latvia,Seychelles,2
Latvia,San Marino,2
Latvia,Romania,9
Latvia,Portugal,9
Latvia,Poland,9
Latvia,Norway,2
Latvia,Netherlands,9
Latvia,Montserrat,7
Latvia,Monaco,2
Latvia,Mexico,2
Latvia,Malta,9
Latvia,Luxembourg,9
Latvia,Lithuania,9
Latvia,Liechtenstein,2
Latvia,"Korea, Republic of",2
Latvia,Jersey,9
Latvia,Italy,9
Latvia,Isle of Man,9
Latvia,Ireland,9
Latvia,India,2
Latvia,Iceland,2
Latvia,Hungary,9
Latvia,Guernsey,9
Latvia,Greece,9
Latvia,Gibraltar,9
Latvia,Germany,9
Latvia,France,9
Latvia,Finland,9
Latvia,Faroe Islands,2
Latvia,Estonia,9
Latvia,Denmark,9
Latvia,Czech Republic,9
Latvia,Cyprus,9
Latvia,Curacao,7
Latvia,Croatia,5
Latvia,Bulgaria,9
Latvia,Belgium,9
Latvia,Austria,9
Latvia,Aruba,7
Latvia,Argentina,2
Latvia,Andorra,2
Liechtenstein,United States,3
Liechtenstein,United Kingdom,2
Liechtenstein,Sweden,2
Liechtenstein,Spain,2
Liechtenstein,Slovenia,2
Liechtenstein,Slovakia,2
Liechtenstein,Romania,2
Liechtenstein,Portugal,2
Liechtenstein,Poland,2
Liechtenstein,Netherlands,2
Liechtenstein,Malta,2
Liechtenstein,Luxembourg,2
Liechtenstein,Lithuania,2
Liechtenstein,Latvia,2
Liechtenstein,Italy,2
Liechtenstein,Ireland,2
Liechtenstein,Hungary,2
Liechtenstein,Greece,2
Liechtenstein,Gibraltar,2
Liechtenstein,Germany,2
Liechtenstein,France,2
Liechtenstein,Finland,2
Liechtenstein,Estonia,2
Liechtenstein,Denmark,2
Liechtenstein,Czech Republic,2
Liechtenstein,Cyprus,2
Liechtenstein,Croatia,2
Liechtenstein,Bulgaria,2
Liechtenstein,Belgium,2
Liechtenstein,Austria,2
Lithuania,"Virgin Islands, British",7
Lithuania,United States,4
Lithuania,United Kingdom,9
Lithuania,Switzerland,2
Lithuania,Sweden,9
Lithuania,Spain,9
Lithuania,South Africa,2
Lithuania,Slovenia,9
Lithuania,Slovakia,9
Lithuania,Seychelles,2
Lithuania,San Marino,2
Lithuania,Romania,9
Lithuania,Portugal,9
Lithuania,Poland,9
Lithuania,Norway,2
Lithuania,Netherlands,9
Lithuania,Montserrat,7
Lithuania,Monaco,2
Lithuania,Mexico,2
Lithuania,Malta,9
Lithuania,Luxembourg,9
Lithuania,Liechtenstein,2
Lithuania,Latvia,9
Lithuania,"Korea, Republic of",2
Lithuania,Jersey,9
Lithuania,Italy,9
Lithuania,Isle of Man,9
Lithuania,Ireland,9
Lithuania,India,2
Lithuania,Iceland,2
Lithuania,Hungary,9
Lithuania,Guernsey,9
Lithuania,Greece,9
Lithuania,Gibraltar,9
Lithuania,Germany,9
Lithuania,France,9
Lithuania,Finland,9
Lithuania,Faroe Islands,2
Lithuania,Estonia,9
Lithuania,Denmark,9
Lithuania,Czech Republic,9
Lithuania,Cyprus,9
Lithuania,Curacao,7
Lithuania,Croatia,5
Lithuania,Bulgaria,9
Lithuania,Belgium,9
Lithuania,Austria,9
Lithuania,Aruba,7
Lithuania,Argentina,2
Lithuania,Andorra,2
Luxembourg,"Virgin Islands, British",2
Luxembourg,United States,3
Luxembourg,United Kingdom,4
Luxembourg,Switzerland,2
Luxembourg,Sweden,4
Luxembourg,Spain,4
Luxembourg,South Africa,2
Luxembourg,Slovenia,4
Luxembourg,Slovakia,4
Luxembourg,Seychelles,2
Luxembourg,San Marino,2
Luxembourg,Romania,4
Luxembourg,Portugal,4
Luxembourg,Poland,4
Luxembourg,Norway,2
Luxembourg,Netherlands,4
Luxembourg,Montserrat,2
Luxembourg,Monaco,2
Luxembourg,Mexico,2
Luxembourg,Malta,4
Luxembourg,Lithuania,4
Luxembourg,Liechtenstein,2
Luxembourg,Latvia,4
Luxembourg,"Korea, Republic of",2
Luxembourg,Jersey,4
Luxembourg,Italy,4
Luxembourg,Isle of Man,4
Luxembourg,Ireland,4
Luxembourg,India,2
Luxembourg,Iceland,2
Luxembourg,Hungary,4
Luxembourg,Guernsey,4
Luxembourg,Greece,4
Luxembourg,Gibraltar,4
Luxembourg,Germany,4
Luxembourg,France,4
Luxembourg,Finland,4
Luxembourg,Faroe Islands,2
Luxembourg,Estonia,4
Luxembourg,Denmark,4
Luxembourg,Czech Republic,4
Luxembourg,Cyprus,4
Luxembourg,Curacao,2
Luxembourg,Croatia,4
Luxembourg,Bulgaria,4
Luxembourg,"Bonaire, Sint Eustatius and Saba",2
Luxembourg,Belgium,4
Luxembourg,Austria,4
Luxembourg,Aruba,2
Luxembourg,Argentina,2
Luxembourg,Andorra,2
Macao,United States,2
Malaysia,United States,2
Malta,"Virgin Islands, British",7
Malta,United States,4
Malta,United Kingdom,9
Malta,Switzerland,2
Malta,Sweden,9
Malta,Spain,9
Malta,South Africa,2
Malta,Slovenia,9
Malta,Slovakia,9
Malta,Seychelles,2
Malta,San Marino,2
Malta,Romania,9
Malta,Portugal,9
Malta,Poland,9
Malta,Norway,2
Malta,Netherlands,9
Malta,Montserrat,7
Malta,Monaco,2
Malta,Mexico,2
Malta,Luxembourg,9
Malta,Lithuania,9
Malta,Liechtenstein,2
Malta,Latvia,9
Malta,"Korea, Republic of",2
Malta,Jersey,9
Malta,Italy,9
Malta,Isle of Man,9
Malta,Ireland,9
Malta,India,2
Malta,Iceland,2
Malta,Hungary,9
Malta,Guernsey,9
Malta,Greece,9
Malta,Gibraltar,9
Malta,Germany,9
Malta,France,9
Malta,Finland,9
Malta,Faroe Islands,2
Malta,Estonia,9
Malta,Denmark,9
Malta,Czech Republic,9
Malta,Cyprus,9
Malta,Curacao,7
Malta,Croatia,5
Malta,Bulgaria,9
Malta,Belgium,9
Malta,Austria,9
Malta,Aruba,7
Malta,Argentina,2
Malta,Andorra,2
Mauritius,United States,4
Mexico,United States,4
Mexico,United Kingdom,2
Mexico,Sweden,2
Mexico,Spain,2
Mexico,South Africa,2
Mexico,Slovenia,2
Mexico,Slovakia,2
Mexico,Seychelles,2
Mexico,San Marino,2
Mexico,Romania,2
Mexico,Norway,2
Mexico,Netherlands,2
Mexico,Malta,2
Mexico,Luxembourg,2
Mexico,Lithuania,2
Mexico,Latvia,2
Mexico,"Korea, Republic of",2
Mexico,Jersey,2
Mexico,Italy,2
Mexico,Isle of Man,2
Mexico,Ireland,2
Mexico,India,2
Mexico,Iceland,2
Mexico,Hungary,2
Mexico,Guernsey,2
Mexico,Gibraltar,2
Mexico,Germany,2
Mexico,France,2
Mexico,Finland,2
Mexico,Faroe Islands,2
Mexico,Estonia,2
Mexico,Denmark,2
Mexico,Czech Republic,2
Mexico,Bulgaria,1
Mexico,Belgium,2
Mexico,Argentina,2
"Moldova, Republic of",United States,2
Monaco,United Kingdom,2
Monaco,Sweden,2
Monaco,Spain,2
Monaco,Slovenia,2
Monaco,Slovakia,2
Monaco,Romania,2
Monaco,Portugal,2
Monaco,Poland,2
Monaco,Netherlands,2
Monaco,Malta,2
Monaco,Luxembourg,2
Monaco,Lithuania,2
Monaco,Latvia,2
Monaco,Italy,2
Monaco,Ireland,2
Monaco,Hungary,2
Monaco,Greece,2
Monaco,Gibraltar,2
Monaco,Germany,2
Monaco,France,2
Monaco,Finland,2
Monaco,Estonia,2
Monaco,Denmark,2
Monaco,Czech Republic,2
Monaco,Cyprus,2
Monaco,Croatia,2
Monaco,Bulgaria,2
Monaco,Belgium,2
Monaco,Austria,2
Montenegro,United States,2
Montserrat,United States,2
Montserrat,United Kingdom,9
Montserrat,Sweden,7
Montserrat,Spain,7
Montserrat,Slovenia,7
Montserrat,Slovakia,7
Montserrat,Romania,7
Montserrat,Portugal,7
Montserrat,Poland,7
Montserrat,Netherlands,7
Montserrat,Malta,7
Montserrat,Luxembourg,7
Montserrat,Lithuania,7
Montserrat,Latvia,7
Montserrat,Italy,7
Montserrat,Ireland,7
Montserrat,Hungary,7
Montserrat,Greece,7
Montserrat,Gibraltar,7
Montserrat,Germany,7
Montserrat,France,7
Montserrat,Finland,7
Montserrat,Estonia,7
Montserrat,Denmark,7
Montserrat,Czech Republic,7
Montserrat,Cyprus,7
Montserrat,Croatia,3
Montserrat,Bulgaria,7
Montserrat,Belgium,7
Montserrat,Austria,7
Netherlands,"Virgin Islands, British",7
Netherlands,United States,3
Netherlands,United Kingdom,9
Netherlands,Switzerland,2
Netherlands,Sweden,9
Netherlands,Spain,9
Netherlands,South Africa,2
Netherlands,Slovenia,9
Netherlands,Slovakia,9
Netherlands,Seychelles,2
Netherlands,San Marino,2
Netherlands,Romania,9
Netherlands,Portugal,9
Netherlands,Poland,9
Netherlands,Norway,2
Netherlands,Montserrat,7
Netherlands,Monaco,2
Netherlands,Mexico,2
Netherlands,Malta,9
Netherlands,Luxembourg,9
Netherlands,Lithuania,9
Netherlands,Liechtenstein,2
Netherlands,Latvia,9
Netherlands,"Korea, Republic of",2
Netherlands,Jersey,9
Netherlands,Italy,9
Netherlands,Isle of Man,9
Netherlands,Ireland,9
Netherlands,India,2
Netherlands,Iceland,2
Netherlands,Hungary,9
Netherlands,Guernsey,9
Netherlands,Greece,9
Netherlands,Gibraltar,9
Netherlands,Germany,9
Netherlands,France,9
Netherlands,Finland,9
Netherlands,Faroe Islands,2
Netherlands,Estonia,9
Netherlands,Denmark,9
Netherlands,Czech Republic,9
Netherlands,Cyprus,9
Netherlands,Curacao,7
Netherlands,Croatia,5
Netherlands,Bulgaria,9
Netherlands,Belgium,9
Netherlands,Austria,9
Netherlands,Aruba,7
Netherlands,Argentina,2
Netherlands,Andorra,2
New Zealand,United States,4
Nicaragua,United States,2
Norway,United States,4
Norway,United Kingdom,2
Norway,Sweden,2
Norway,Spain,2
Norway,South Africa,2
Norway,Slovenia,2
Norway,Slovakia,2
Norway,Seychelles,2
Norway,San Marino,2
Norway,Romania,2
Norway,Netherlands,2
Norway,Mexico,2
Norway,Malta,2
Norway,Luxembourg,2
Norway,Lithuania,2
Norway,Latvia,2
Norway,"Korea, Republic of",2
Norway,Jersey,2
Norway,Italy,2
Norway,Isle of Man,2
Norway,Ireland,2
Norway,India,2
Norway,Iceland,2
Norway,Hungary,2
Norway,Guernsey,2
Norway,Gibraltar,2
Norway,Germany,2
Norway,France,2
Norway,Finland,2
Norway,Faroe Islands,2
Norway,Estonia,2
Norway,Denmark,2
Norway,Czech Republic,2
Norway,Bulgaria,1
Norway,Belgium,2
Norway,Argentina,2
Panama,United States,2
Paraguay,United States,2
Peru,United States,2
Philippines,United States,2
Poland,"Virgin Islands, British",7
Poland,United States,3
Poland,United Kingdom,9
Poland,Switzerland,2
Poland,Sweden,9
Poland,Spain,9
Poland,Slovenia,9
Poland,Slovakia,9
Poland,San Marino,2
Poland,Romania,9
Poland,Portugal,9
Poland,Netherlands,9
Poland,Montserrat,7
Poland,Monaco,2
Poland,Malta,9
Poland,Luxembourg,9
Poland,Lithuania,9
Poland,Liechtenstein,2
Poland,Latvia,9
Poland,Jersey,7
Poland,Italy,9
Poland,Isle of Man,7
Poland,Ireland,9
Poland,Hungary,9
Poland,Guernsey,7
Poland,Greece,9
Poland,Gibraltar,9
Poland,Germany,9
Poland,France,9
Poland,Finland,9
Poland,Estonia,9
Poland,Denmark,9
Poland,Czech Republic,9
Poland,Cyprus,9
Poland,Curacao,7
Poland,Croatia,5
Poland,Bulgaria,9
Poland,Belgium,9
Poland,Austria,9
Poland,Aruba,7
Poland,Andorra,2
Portugal,"Virgin Islands, British",7
Portugal,United States,2
Portugal,United Kingdom,9
Portugal,Switzerland,2
Portugal,Sweden,9
Portugal,Spain,9
Portugal,Slovenia,9
Portugal,Slovakia,9
Portugal,San Marino,2
Portugal,Romania,9
Portugal,Poland,9
Portugal,Netherlands,9
Portugal,Montserrat,7
Portugal,Monaco,2
Portugal,Malta,9
Portugal,Luxembourg,9
Portugal,Lithuania,9
Portugal,Liechtenstein,2
Portugal,Latvia,9
Portugal,Jersey,7
Portugal,Italy,9
Portugal,Isle of Man,7
Portugal,Ireland,9
Portugal,Hungary,9
Portugal,Guernsey,7
Portugal,Greece,9
Portugal,Gibraltar,9
Portugal,Germany,9
Portugal,France,9
Portugal,Finland,9
Portugal,Estonia,9
Portugal,Denmark,9
Portugal,Czech Republic,9
Portugal,Cyprus,9
Portugal,Curacao,7
Portugal,Croatia,5
Portugal,Bulgaria,9
Portugal,Belgium,9
Portugal,Austria,9
Portugal,Aruba,7
Portugal,Andorra,2
Qatar,United States,3
Romania,"Virgin Islands, British",7
Romania,United States,3
Romania,United Kingdom,9
Romania,Switzerland,2
Romania,Sweden,9
Romania,Spain,9
Romania,South Africa,2
Romania,Slovenia,9
Romania,Slovakia,9
Romania,Seychelles,2
Romania,San Marino,2
Romania,Portugal,9
Romania,Poland,9
Romania,Norway,2
Romania,Netherlands,9
Romania,Montserrat,7
Romania,Monaco,2
Romania,Mexico,2
Romania,Malta,9
Romania,Luxembourg,9
Romania,Lithuania,9
Romania,Liechtenstein,2
Romania,Latvia,9
Romania,"Korea, Republic of",2
Romania,Jersey,9
Romania,Italy,9
Romania,Isle of Man,9
Romania,Ireland,9
Romania,India,2
Romania,Iceland,2
Romania,Hungary,9
Romania,Guernsey,9
Romania,Greece,9
Romania,Gibraltar,9
Romania,Germany,9
Romania,France,9
Romania,Finland,9
Romania,Faroe Islands,2
Romania,Estonia,9
Romania,Denmark,9
Romania,Czech Republic,9
Romania,Cyprus,9
Romania,Curacao,7
Romania,Croatia,5
Romania,Bulgaria,9
Romania,Belgium,9
Romania,Austria,9
Romania,Aruba,7
Romania,Argentina,2
Romania,Andorra,2
Saint Kitts and Nevis,United States,2
Saint Lucia,United States,2
Saint Vincent and the Grenadines,United States,2
San Marino,United States,2
San Marino,United Kingdom,2
San Marino,Sweden,2
San Marino,Spain,2
San Marino,Slovenia,2
San Marino,Slovakia,2
San Marino,Romania,2
San Marino,Portugal,2
San Marino,Poland,2
San Marino,Norway,2
San Marino,Netherlands,2
San Marino,Mexico,2
San Marino,Malta,2
San Marino,Luxembourg,2
San Marino,Lithuania,2
San Marino,Latvia,2
San Marino,Jersey,2
San Marino,Italy,2
San Marino,Isle of Man,2
San Marino,Ireland,2
San Marino,India,2
San Marino,Iceland,2
San Marino,Hungary,2
San Marino,Guernsey,2
San Marino,Greece,2
San Marino,Gibraltar,2
San Marino,Germany,2
San Marino,France,2
San Marino,Finland,2
San Marino,Faroe Islands,2
San Marino,Estonia,2
San Marino,Denmark,2
San Marino,Czech Republic,2
San Marino,Cyprus,2
San Marino,Croatia,2
San Marino,Bulgaria,2
San Marino,Belgium,2
San Marino,Austria,2
Saudi Arabia,United States,2
Serbia,United States,2
Seychelles,United States,2
Seychelles,United Kingdom,2
Seychelles,Sweden,2
Seychelles,Spain,2
Seychelles,South Africa,2
Seychelles,Slovenia,2
Seychelles,Slovakia,2
Seychelles,Romania,2
Seychelles,Norway,2
Seychelles,Netherlands,2
Seychelles,Mexico,2
Seychelles,Malta,2
Seychelles,Luxembourg,2
Seychelles,Lithuania,2
Seychelles,Latvia,2
Seychelles,"Korea, Republic of",2
Seychelles,Italy,2
Seychelles,Isle of Man,2
Seychelles,Ireland,2
Seychelles,India,2
Seychelles,Iceland,2
Seychelles,Hungary,2
Seychelles,Guernsey,2
Seychelles,Gibraltar,2
Seychelles,Germany,2
Seychelles,France,2
Seychelles,Finland,2
Seychelles,Estonia,2
Seychelles,Denmark,2
Seychelles,Czech Republic,2
Seychelles,Bulgaria,1
Seychelles,Belgium,2
Seychelles,Argentina,2
Singapore,United States,3
Slovakia,"Virgin Islands, British",7
Slovakia,United States,3
Slovakia,United Kingdom,9
Slovakia,Switzerland,2
Slovakia,Sweden,9
Slovakia,Spain,9
Slovakia,Slovenia,9
Slovakia,San Marino,2
Slovakia,Romania,9
Slovakia,Portugal,9
Slovakia,Poland,9
Slovakia,Netherlands,9
Slovakia,Montserrat,7
Slovakia,Monaco,2
Slovakia,Malta,9
Slovakia,Luxembourg,9
Slovakia,Lithuania,9
Slovakia,Liechtenstein,2
Slovakia,Latvia,9
Slovakia,Jersey,7
Slovakia,Italy,9
Slovakia,Isle of Man,7
Slovakia,Ireland,9
Slovakia,Hungary,9
Slovakia,Guernsey,7
Slovakia,Greece,9
Slovakia,Gibraltar,9
Slovakia,Germany,9
Slovakia,France,9
Slovakia,Finland,9
Slovakia,Estonia,9
Slovakia,Denmark,9
Slovakia,Czech Republic,9
Slovakia,Cyprus,9
Slovakia,Curacao,7
Slovakia,Croatia,5
Slovakia,Bulgaria,9
Slovakia,Belgium,9
Slovakia,Austria,9
Slovakia,Aruba,7
Slovakia,Andorra,2
Slovenia,"Virgin Islands, British",7
Slovenia,United States,4
Slovenia,United Kingdom,9
Slovenia,Switzerland,2
Slovenia,Sweden,9
Slovenia,Spain,9
Slovenia,South Africa,2
Slovenia,Slovakia,9
Slovenia,Seychelles,2
Slovenia,San Marino,2
Slovenia,Romania,9
Slovenia,Portugal,9
Slovenia,Poland,9
Slovenia,Norway,2
Slovenia,Netherlands,9
Slovenia,Montserrat,7
Slovenia,Monaco,2
Slovenia,Mexico,2
Slovenia,Malta,9
Slovenia,Luxembourg,9
Slovenia,Lithuania,9
Slovenia,Liechtenstein,2
Slovenia,Latvia,9
Slovenia,"Korea, Republic of",2
Slovenia,Jersey,9
Slovenia,Italy,9
Slovenia,Isle of Man,9
Slovenia,Ireland,9
Slovenia,India,2
Slovenia,Iceland,2
Slovenia,Hungary,9
Slovenia,Guernsey,9
Slovenia,Greece,9
Slovenia,Gibraltar,9
Slovenia,Germany,9
Slovenia,France,9
Slovenia,Finland,9
Slovenia,Faroe Islands,2
Slovenia,Estonia,9
Slovenia,Denmark,9
Slovenia,Czech Republic,9
Slovenia,Cyprus,9
Slovenia,Curacao,7
Slovenia,Croatia,5
Slovenia,Bulgaria,9
Slovenia,"Bonaire, Sint Eustatius and Saba",2
Slovenia,Belgium,9
Slovenia,Austria,9
Slovenia,Aruba,7
Slovenia,Argentina,2
Slovenia,Andorra,2
South Africa,United States,4
South Africa,United Kingdom,2
South Africa,Sweden,2
South Africa,Spain,2
South Africa,Slovenia,2
South Africa,Slovakia,2
South Africa,Seychelles,2
South Africa,Romania,2
South Africa,Norway,2
South Africa,Netherlands,2
South Africa,Mexico,2
South Africa,Malta,2
South Africa,Luxembourg,2
South Africa,Lithuania,2
South Africa,Latvia,2
South Africa,"Korea, Republic of",2
South Africa,Jersey,2
South Africa,Italy,2
South Africa,Isle of Man,2
South Africa,Ireland,2
South Africa,India,2
South Africa,Iceland,2
South Africa,Hungary,2
South Africa,Guernsey,2
South Africa,Gibraltar,2
South Africa,Germany,2
South Africa,France,2
South Africa,Finland,2
South Africa,Faroe Islands,2
South Africa,Estonia,2
South Africa,Denmark,2
South Africa,Czech Republic,2
South Africa,Bulgaria,1
South Africa,Belgium,2
South Africa,Argentina,2
Spain,"Virgin Islands, British",7
Spain,United States,5
Spain,United Kingdom,9
Spain,Switzerland,2
Spain,Sweden,9
Spain,South Africa,2
Spain,Slovenia,9
Spain,Slovakia,9
Spain,Seychelles,2
Spain,San Marino,2
Spain,Romania,9
Spain,Portugal,9
Spain,Poland,9
Spain,Norway,2
Spain,Netherlands,9
Spain,Montserrat,7
Spain,Monaco,2
Spain,Mexico,2
Spain,Malta,9
Spain,Luxembourg,9
Spain,Lithuania,9
Spain,Liechtenstein,2
Spain,Latvia,9
Spain,"Korea, Republic of",2
Spain,Jersey,9
Spain,Italy,9
Spain,Isle of Man,9
Spain,Ireland,9
Spain,India,2
Spain,Iceland,2
Spain,Hungary,9
Spain,Guernsey,9
Spain,Greece,9
Spain,Gibraltar,9
Spain,Germany,9
Spain,France,9
Spain,Finland,9
Spain,Faroe Islands,2
Spain,Estonia,9
Spain,Denmark,9
Spain,Czech Republic,9
Spain,Cyprus,9
Spain,Curacao,7
Spain,Croatia,5
Spain,Bulgaria,9
Spain,"Bonaire, Sint Eustatius and Saba",2
Spain,Belgium,9
Spain,Austria,9
Spain,Aruba,7
Spain,Argentina,2
Spain,Andorra,2
Sweden,"Virgin Islands, British",7
Sweden,United States,3
Sweden,United Kingdom,9
Sweden,Switzerland,2
Sweden,Spain,9
Sweden,South Africa,2
Sweden,Slovenia,9
Sweden,Slovakia,9
Sweden,Seychelles,2
Sweden,San Marino,2
Sweden,Romania,9
Sweden,Portugal,9
Sweden,Poland,9
Sweden,Norway,2
Sweden,Netherlands,9
Sweden,Montserrat,7
Sweden,Monaco,2
Sweden,Mexico,2
Sweden,Malta,9
Sweden,Luxembourg,9
Sweden,Lithuania,9
Sweden,Liechtenstein,2
Sweden,Latvia,9
Sweden,"Korea, Republic of",2
Sweden,Jersey,9
Sweden,Italy,9
Sweden,Isle of Man,9
Sweden,Ireland,9
Sweden,India,2
Sweden,Iceland,2
Sweden,Hungary,9
Sweden,Guernsey,9
Sweden,Greece,9
Sweden,Gibraltar,9
Sweden,Germany,9
Sweden,France,9
Sweden,Finland,9
Sweden,Faroe Islands,2
Sweden,Estonia,9
Sweden,Denmark,9
Sweden,Czech Republic,9
Sweden,Cyprus,9
Sweden,Curacao,7
Sweden,Croatia,5
Sweden,Bulgaria,9
Sweden,"Bonaire, Sint Eustatius and Saba",2
Sweden,Belgium,9
Sweden,Austria,9
Sweden,Aruba,7
Sweden,Argentina,2
Sweden,Andorra,2
Switzerland,United States,4
Switzerland,United Kingdom,2
Switzerland,Sweden,2
Switzerland,Spain,2
Switzerland,Slovenia,2
Switzerland,Slovakia,2
Switzerland,Romania,2
Switzerland,Portugal,2
Switzerland,Poland,2
Switzerland,Netherlands,2
Switzerland,Malta,2
Switzerland,Luxembourg,2
Switzerland,Lithuania,2
Switzerland,Latvia,2
Switzerland,Italy,2
Switzerland,Ireland,2
Switzerland,Hungary,2
Switzerland,Greece,2
Switzerland,Gibraltar,2
Switzerland,Germany,2
Switzerland,France,2
Switzerland,Finland,2
Switzerland,Estonia,2
Switzerland,Denmark,2
Switzerland,Czech Republic,2
Switzerland,Cyprus,2
Switzerland,Croatia,2
Switzerland,Bulgaria,2
Switzerland,Belgium,2
Switzerland,Austria,2
"Taiwan, Province of China",United States,2
Thailand,United States,2
Trinidad and Tobago,United States,2
Tunisia,United States,2
Turkey,United States,2
Turkmenistan,United States,2
Turks and Caicos Islands,United States,3
Turks and Caicos Islands,United Kingdom,8
Turks and Caicos Islands,Sweden,6
Turks and Caicos Islands,Spain,6
Turks and Caicos Islands,South Africa,2
Turks and Caicos Islands,Slovenia,6
Turks and Caicos Islands,Slovakia,4
Turks and Caicos Islands,Seychelles,2
Turks and Caicos Islands,Romania,6
Turks and Caicos Islands,Portugal,4
Turks and Caicos Islands,Poland,4
Turks and Caicos Islands,Norway,2
